Tiêu đề,Giá,Diện tích,Giá/m2,Số phòng ngủ,Số phòng tắm,Địa chỉ,Ngày đăng
"Bán gấp nhà Sư Vạn Hạnh, phường 12, quận 10 – giá chỉ 3,68 tỷ","3,68 tỷ",70 m²,"52,57 tr/m²",,,"Q. 10, Tp. Hồ Chí Minh",09/10/2025
"Bán gấp nhà Sư Vạn Hạnh, phường 12, quận 10 – giá chỉ 3,68 tỷ","3,68 tỷ",70 m²,"52,57 tr/m²",,,"Q. 10, Tp. Hồ Chí Minh",09/10/2025
"Đất trống 8m x 20m góc 1 và 14 chợ Tân Mỹ, phường Tân Phú, quận 7",31 tỷ,160 m²,"193,75 tr/m²",,,"Q. 7, Tp. Hồ Chí Minh",06/10/2025
"Đất trống 8m x 20m góc 1 và 14 chợ Tân Mỹ, phường Tân Phú, quận 7",31 tỷ,160 m²,"193,75 tr/m²",,,"Q. 7, Tp. Hồ Chí Minh",06/10/2025
"Cần bán gấp nhà, Nguyễn Xiển Quận 9, hẻm ô tô 5m, 2 tầng lầu 86m2, giá 3,95 tỷ","3,95 tỷ",86 m²,"45,93 tr/m²",3.0,3.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",05/10/2025
"Cần bán gấp nhà, Nguyễn Xiển Quận 9, hẻm ô tô 5m, 2 tầng lầu 86m2, giá 3,95 tỷ","3,95 tỷ",86 m²,"45,93 tr/m²",3.0,3.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",05/10/2025
"Cần bán gấp nhà đường 102 quận 9, diện tích 60m2, 2 tầng hẻm 8m, 5,3 tỷ","5,3 tỷ",60 m²,"88,33 tr/m²",3.0,3.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",13/08/2025
"Cần bán gấp nhà đường 102 quận 9, diện tích 60m2, 2 tầng hẻm 8m, 5,3 tỷ","5,3 tỷ",60 m²,"88,33 tr/m²",3.0,3.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",13/08/2025
"Bán nhà 1 trệt 1 lầu ngay khu dân cư Vĩnh Lộc, Bình Chánh – giá chỉ 1,48 tỷ","1,48 tỷ",80 m²,"18,5 tr/m²",3.0,3.0,"H. Bình Chánh, Tp. Hồ Chí Minh",13/08/2025
"Bán nhà 1 trệt 1 lầu ngay khu dân cư Vĩnh Lộc, Bình Chánh – giá chỉ 1,48 tỷ","1,48 tỷ",80 m²,"18,5 tr/m²",3.0,3.0,"H. Bình Chánh, Tp. Hồ Chí Minh",13/08/2025
BÁN GẤP 113 M2 .. ĐẤT ĐƯỜNG SỐ 18 Ph Linh Chiểu thủ đức,"7,9 tỷ",113 m²,"69,91 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",
BÁN GẤP 113 M2 .. ĐẤT ĐƯỜNG SỐ 18 Ph Linh Chiểu thủ đức,"7,9 tỷ",113 m²,"69,91 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",
"Bán Nhà Mặt Phố Đường Huỳnh Văn Gấm, Tân Quý, Tân Phú, TP.HCM, 22,5 tỷ, 197m2","22,5 tỷ",197 m²,"114,21 tr/m²",,,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Tương lai sát nhập quận 1 - chỉ 105tr/ m2 - ngô tất tố, bt - gần 100m2 dt 9.x tỷ.","9,99 tỷ",95 m²,"105,16 tr/m²",3.0,3.0,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"Bán Nhà Mặt Phố Đường Huỳnh Văn Gấm, Tân Quý, Tân Phú, TP.HCM, 22,5 tỷ, 197m2","22,5 tỷ",197 m²,"114,21 tr/m²",,,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Tương lai sát nhập quận 1 - chỉ 105tr/ m2 - ngô tất tố, bt - gần 100m2 dt 9.x tỷ.","9,99 tỷ",95 m²,"105,16 tr/m²",3.0,3.0,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà hẻm Trường Chinh, phường 14, Tân Bình (4x15) 2 tầng; 7,2 tỷ","7,25 tỷ",50 m²,145 tr/m²,,,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
Bán nhà căn góc - sát hẻm xe hơi - vị trí đắc địa - quận 7,"1,88 tỷ",23 m²,"81,74 tr/m²",2.0,2.0,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
