Tiêu đề,Giá,Diện tích,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số WC,Chỗ để xe,Loại BĐS,Địa chỉ,Ngày đăng
Bán nhà đường thới an 13 quận 12 khu tri thức 3 tấm btct đầy đủ nội thất 5.85 tỷ,5.85 Tỷ,142 m²,4m,7m,2,4,3,1 Chỗ để ôtô,nhà phố,Quận 12,10/10/2025
Bán nha đường nguyễn ảnh thủ q12 3 tầng 4x15 sân để oto giá 5.4 tỷ,5.4 Tỷ,162 m²,4m,8m,3,N/A,N/A,Không,Nhà phố,Quận 12,10/10/2025
1 tỷ 8 căn sổ hồng 2pn 2wc hoàng văn thụ 55m2 ở luôn 0901 302 895,2.1 Tỷ,52 m²,40m,40m,N/A,2,2,4 Chỗ để ôtô,Căn Hộ Chung Cư,Quận Bình Thạnh,10/10/2025
Chú năm bán nhà 1 trệt 1 lầu mặt tiền đường kinh doanh tạp hoá giá 650tr,650 Triệu,83 m²,N/A,N/A,1,N/A,2,Không,Nhà Mặt Phố,Hoàng Phan Thái,10/10/2025
"Ch 2025 hiện đại , giá f0 - 1 tỷ 9 nhà mới 100%, sổ hồng sang tên - vay bank 80%",1.9 Tỷ,47 m²,N/A,N/A,N/A,3,2,2 Chỗ để ôtô,Căn hộ,Quận Gò Vấp,11/10/2025
Trả trước 240tr nhận căn hộ 2pn mặt tiền ql1a - trả góp 8tr/tháng,1.4 Tỷ,50 m²,N/A,N/A,N/A,2,1,Không,CĂN HỘ,Quốc Lộ 1a,09/10/2025
55m2/2tỷ2 căn hộ 2pn nguyễn bỉnh khiêm full nội thất góp 15 năm,2.1 Tỷ,51 m²,N/A,12m,N/A,2,1,Không,Căn Hộ Chung Cư,Quận Gò Vấp,09/10/2025
Bán nhà 7.5x20 him lam kênh tẻ hướng đông giá 39 tỷ,39 Tỷ,150 m²,N/A,N/A,N/A,N/A,N/A,Không,N/A,Quận 7,11/10/2025
"Mt phạm văn đồng 2pn/ 47m2 , ban công riêng , view hồ bơi tràn bờ , shr ở ngay",1.9 Tỷ,47 m²,N/A,N/A,N/A,2,2,Không,căn hộ,Quận Bình Thạnh,09/10/2025
Căn hộ 1pn   1wc - view nội khu - không gian sống hiện đại - nằm gần chợ bìchánh,1.2 Tỷ,39 m²,N/A,N/A,N/A,1,1,1 Chỗ để ôtô,CĂN HỘ,Huyện Bình Chánh,11/10/2025
